itemNumber,price,freightCost/surcharge,eligibility(Promotion Restriction),category,brand,image,minRetailQty,Instock Qty,Shipping_date,date
G4043864,7.19,0.0,YES,Vehicle Maintenance / Automotive Service & Shop Tools / Service & Shop Tools / Lug Nut Wrenches,Phoenix,Z0K4Iyfo5oy.JPG,1,0,1,2024-08-26 12:02:15
G9680730,18.75,0.0,NO,"Welding, Soldering & Brazing / Welding Protection / Welding Helmet Accessories",Miller Electric,Z2sIyuncpIx_.JPG,1,0,1,2024-08-26 12:02:23
G0694321,7.95,0.0,YES,Abrasives & Polishers / Sanding Abrasives / Adhesive Discs,Norton Abrasives,Z3yrqyfo5oy.JPG,1,0,1,2024-08-26 12:02:30
G2287144,8.15,0.0,YES,Adhesives & Tapes / Tapes / Duct Tapes,Nashua,Z-Iwovfo5oy.JPG,1,0,1,2024-08-26 12:02:36
G6208894,7.15,0.0,YES,Power Transmission / Motors / Motor Capacitors / Motor Run Capacitors,Titan Hd,Z-oJ-vlcpEx_.JPG,1,0,1,2024-08-26 12:02:43
G2684333,3.65,0.0,YES,Electrical Supplies / Fuses & Accessories / Fuses / Glass Fuses,Eaton Bussmann,Z1J6r-fo5oy.JPG,1,0,1,2024-08-26 12:02:50
G5037663,26.49,0.0,YES,Plumbing / Faucets / Kitchen Faucets & Accessories / Water Supply Nozzles,Sani-Lav,Z1p8svpcpEx_.JPG,1,0,1,2024-08-26 12:02:57
G4446759,79.29,0.0,YES,"Power Transmission / Bearings, V-belts & Power Transmission Equipment / Pulleys & Sheaves / V-Belt Pulleys",Congress,Z1Jwutfo9oy.JPG,1,0,1,2024-08-26 12:03:04
G4675115,71.35,0.0,YES,Lab Equipment & Supplies / Lab Instruments / Water Quality Testing / Water Testing Meter Accessories,Oakton,Z69JItfo9oy.JPG,1,0,1,2024-08-26 12:03:11
G0364384,51.49,0.0,YES,Raw Materials / Stainless Steel / Stainless Steel Music Wire,Zoro Select,Z07wrvfo5oy.JPG,1,0,1,2024-08-26 12:03:19
G2036511,49.55,0.0,YES,Plumbing / Plumbing Repair & Maintenance / Plumbing Parts & Accessories / Cartridges and Stems,T&S Brass,Z1q1JwpcpEx_.JPG,1,0,1,2024-08-26 12:03:23
G2401077,12.85,0.0,YES,"Office, School & Shipping Supplies / Shipping & Packing Supplies / Strapping / Steel Strapping Seals",Zoro Select,Z0_IHxfo5oy.JPG,1,0,1,2024-08-26 12:03:30
G5287764,44.15,0.0,YES,Heating & Cooling / HVACR and Appliance Controls / Controls / Fan Speed Control,Dayton,Z1w1p_jcpIx_.JPG,1,0,1,2024-08-26 12:03:35
G2623932,25.29,0.0,YES,Plumbing / Faucets / Faucet Repair and Maintenance,T&S Brass,Z1J97vfo5oy.JPG,1,0,1,2024-08-26 12:03:38
