itemNumber,price,freightCost/surcharge,eligibility(Promotion Restriction),category,brand,image,minRetailQty,Instock Qty,Shipping_date,date
G2802685,7.95,0.0,YES,"Office, School & Shipping Supplies / Scissors, Cutters & Punchers / Scissors",Westward,Z-G8J0fo5oy.JPG,1,0,1,2024-08-26 18:05:49
G4693351,35.99,0.0,YES,Heating & Cooling / HVAC Parts / Humidifier and Dehumidifier Parts,Fantech,Z_tLwvmcd59PIpHv.JPG,1,0,1,2024-08-26 18:05:50
G4604801,20.65,0.0,YES,Tools & Machining / Hand Tools / Clamps / C Clamps,Kant-Twist,Z-rCrzncpEx_.JPG,1,0,1,2024-08-26 18:05:53
G9501493,16.85,0.0,YES,Tools & Machining / Hand Tools / Hand Tool Parts / Wrench Parts,Posi Lock,Z1s2qtkcpIx_.JPG,1,0,1,2024-08-26 18:05:55
G4405624,4.95,0.0,YES,Tools & Machining / Hand Tools / Specialty Safety Tools / Hand & Bowl Scoops,Remco,Z_w5wvkcpIx_.JPG,1,0,1,2024-08-26 18:05:58
G5489456,61.65,0.0,YES,Hardware & Building Materials / Door Hardware & Components / Electromagnetic Locking Systems / Electromagnetic Lock Activation Devices,Safety Technology International,Z2q12tpcpEx_.JPG,1,0,1,2024-08-26 18:06:00
G2802685,7.95,0.0,YES,"Office, School & Shipping Supplies / Scissors, Cutters & Punchers / Scissors",Westward,Z-G8J0fo5oy.JPG,1,300,1,2024-08-26 18:05:49
G4693351,35.99,0.0,YES,Heating & Cooling / HVAC Parts / Humidifier and Dehumidifier Parts,Fantech,Z_tLwvmcd59PIpHv.JPG,1,300,1,2024-08-26 18:05:50
G4604801,20.65,0.0,YES,Tools & Machining / Hand Tools / Clamps / C Clamps,Kant-Twist,Z-rCrzncpEx_.JPG,1,300,1,2024-08-26 18:05:53
G4405624,4.95,0.0,YES,Tools & Machining / Hand Tools / Specialty Safety Tools / Hand & Bowl Scoops,Remco,Z_w5wvkcpIx_.JPG,1,300,1,2024-08-26 18:05:58
G5306506,10.95,0.0,YES,"Tools & Machining / Hand Tools / Knives, Cutters & Snips / Utility Knives",Westward,Z-qMB_qcdKLzEpHv.JPG,1,0,1,2024-08-26 18:06:48
G4409535,28.15,0.0,YES,Hardware & Building Materials / Security Locks / Combination Padlocks,Abus,Z_s8w0mcpEx_.JPG,1,0,1,2024-08-26 18:06:50
G2655601,12.99,0.0,YES,Safety / Personal Protective Equipment (PPE) / Gloves & Hand Protection / Cold Weather Gloves,Caiman,Z3oC5vpcpEx_.JPG,1,0,1,2024-08-26 18:06:53
G5224414,3.35,0.0,YES,"Hardware & Building Materials / Door Hardware & Components / Door Accessories / Door Bottoms, Thresholds & Seals / Door Weatherstripping & Door Seals",Frost King,Z1rNwwhcpEx_.JPG,1,0,1,2024-08-26 18:06:58
G9501493,16.85,0.0,YES,Tools & Machining / Hand Tools / Hand Tool Parts / Wrench Parts,Posi Lock,Z1s2qtkcpIx_.JPG,1,52,1,2024-08-26 18:05:55
G3970274,7.15,0.0,YES,Safety / Personal Protective Equipment (PPE) / Eye Protection / Safety Glasses,Bolle Safety,Z2t3--ncpEx_.JPG,1,0,1,2024-08-26 18:07:23
G5306506,10.95,0.0,YES,"Tools & Machining / Hand Tools / Knives, Cutters & Snips / Utility Knives",Westward,Z-qMB_qcdKLzEpHv.JPG,1,300,1,2024-08-26 18:06:48
G4409535,28.15,0.0,YES,Hardware & Building Materials / Security Locks / Combination Padlocks,Abus,Z_s8w0mcpEx_.JPG,1,300,1,2024-08-26 18:06:50
G2655601,12.99,0.0,YES,Safety / Personal Protective Equipment (PPE) / Gloves & Hand Protection / Cold Weather Gloves,Caiman,Z3oC5vpcpEx_.JPG,1,300,1,2024-08-26 18:06:53
G5224414,3.35,0.0,YES,"Hardware & Building Materials / Door Hardware & Components / Door Accessories / Door Bottoms, Thresholds & Seals / Door Weatherstripping & Door Seals",Frost King,Z1rNwwhcpEx_.JPG,1,300,1,2024-08-26 18:06:58
G2498851,35.49,0.0,YES,"Power Transmission / Bearings, V-belts & Power Transmission Equipment / Power Transmission Belts / V-Belts",Gates,Z_98Hxfo5oy.JPG,1,0,1,2024-08-26 18:07:44
G1153485,40.25,0.0,YES,"Vehicle Maintenance / Automotive Brakes, Steering & Suspension / Automotive Brakes / Brake Parts",Weatherhead,Z-L9Kxfo5oy.JPG,1,0,1,2024-08-26 18:07:47
G7825076,13.99,0.0,YES,"Tools & Machining / Hand Tools / Drywall and Plastering Tools / Putty & Joint Knives, Spatulas, Scrapers",Olfa,Z2rJ0ulcpEx-.JPG,1,0,1,2024-08-26 18:07:50
G0847612,3.35,0.0,YES,Electrical Supplies / Data & Communication / Voice & Data Housings,Panduit,Z2LLy_fo5oy.JPG,1,0,1,2024-08-26 18:07:54
G3970274,7.15,0.0,YES,Safety / Personal Protective Equipment (PPE) / Eye Protection / Safety Glasses,Bolle Safety,Z2t3--ncpEx_.JPG,1,300,1,2024-08-26 18:07:23
G5489456,61.65,0.0,YES,Hardware & Building Materials / Door Hardware & Components / Electromagnetic Locking Systems / Electromagnetic Lock Activation Devices,Safety Technology International,Z2q12tpcpEx_.JPG,1,99,1,2024-08-26 18:06:00
G4034694,196.99,0.0,YES,Electrical Supplies / Wiring Devices / Pin & Sleeve Devices / Hazardous Location Plugs,Appleton Electric,Z_pNrzkcpEx_.JPG,1,0,1,2024-08-26 18:08:22
G0793457,9.99,0.0,NO,Plumbing / Plumbing Repair & Maintenance / Toilet Repair Parts,Oatey,Z16B9yfo5oz.JPG,1,0,1,2024-08-26 18:08:27
G1153485,40.25,0.0,YES,"Vehicle Maintenance / Automotive Brakes, Steering & Suspension / Automotive Brakes / Brake Parts",Weatherhead,Z-L9Kxfo5oy.JPG,1,63,1,2024-08-26 18:07:47
